,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1972-07-01,1290.566,1299.485,5419.184,25783.0,-2.638,1287.928,1517.139,775.799,12.964,41.933,18.5,4.5,5.6,108.11333333333333,188583335.66666666,105.90333333333332,109.67666666666668
1972-10-01,1328.904,1337.927,5509.926,26146.0,-3.061,1325.843,1529.691,800.502,13.415,42.367,18.467,4.5,5.4,109.67666666666668,165188888.33333334,108.11333333333333,115.43333333333334
1973-01-01,1377.49,1388.16,5646.286,26735.0,-1.4,1376.09,1542.861,825.007,13.915,43.033,19.067,5.11,4.9,115.43333333333334,197703703.33333334,109.67666666666668,113.07666666666667
1973-04-01,1413.887,1425.513,5707.755,26966.0,2.454,1416.341,1531.988,840.527,14.367,43.933,20.067,5.91,4.9,113.07666666666667,195433333.33333334,115.43333333333334,105.39333333333333
1973-07-01,1433.838,1447.715,5677.738,26758.0,6.437,1440.2749999999999,1513.965,858.877,14.809,44.8,20.867,7.26,4.8,105.39333333333333,163694445.33333334,113.07666666666667,106.96666666666665
1973-10-01,1476.289,1490.591,5731.632,26946.0,8.952,1485.241,1525.325,873.887,15.312,45.933,24.333,7.5,4.8,106.96666666666665,168761111.0,105.39333333333333,100.60000000000001
1974-01-01,1491.209,1508.276,5682.353,26660.0,6.394,1497.603,1552.878,891.868,15.712,47.3,30.3,7.5,5.1,100.60000000000001,223551852.0,106.96666666666665,95.58999999999999
1974-04-01,1530.056,1546.453,5695.859,26666.0,-2.714,1527.342,1560.657,920.422,16.211,48.567,32.533,7.87,5.2,95.58999999999999,172140741.33333334,100.60000000000001,87.86333333333334
1974-07-01,1560.026,1575.303,5642.025,26347.0,-6.972,1553.054,1563.766,949.276,16.71,49.933,34.733,8.0,5.6,87.86333333333334,143474073.0,95.58999999999999,71.66666666666667
1974-10-01,1599.679,1613.018,5620.126,26177.0,0.033,1599.712,1571.26,959.079,16.928,51.467,35.433,7.94,6.6,71.66666666666667,154488889.0,87.86333333333334,70.81
1975-01-01,1616.116,1627.512,5551.713,25806.0,16.481,1632.597,1588.372,985.19,16.936,52.567,34.867,6.87,8.3,70.81,181303704.0,71.66666666666667,80.64333333333333
1975-04-01,1651.853,1663.509,5591.382,25928.0,21.582,1673.4350000000002,1574.948,1013.582,17.151,53.2,35.633,6.12,8.9,80.64333333333333,242555556.0,70.81,91.21333333333332
1975-07-01,1709.82,1722.818,5687.087,26294.0,12.043,1721.8629999999998,1604.369,1047.192,17.688,54.267,37.1,6.0,8.5,91.21333333333332,251081482.33333334,80.64333333333333,86.5
1975-10-01,1761.831,1777.797,5763.665,26579.0,13.801,1775.6319999999998,1618.424,1076.223,18.277,55.267,38.133,6.0,8.3,86.5,184864814.66666666,91.21333333333332,90.15666666666668
1976-01-01,1820.487,1836.233,5893.276,27119.0,4.65,1825.1370000000002,1620.97,1109.908,18.921,55.9,38.167,5.6,7.7,90.15666666666668,191355554.66666666,86.5,101.11333333333333
1976-04-01,1852.332,1868.977,5936.515,27260.0,-0.496,1851.836,1602.934,1129.54,19.366,56.4,38.1,5.5,7.6,101.11333333333333,326214814.3333333,90.15666666666668,102.03333333333335
1976-07-01,1886.558,1903.677,5969.089,27339.0,-4.073,1882.485,1598.243,1158.806,19.829,57.3,38.833,5.5,7.7,102.03333333333335,215814816.0,101.11333333333333,103.86333333333333
1976-10-01,1934.273,1952.15,6012.356,27464.0,-6.603,1927.6699999999998,1597.264,1192.408,20.276,58.133,40.267,5.39,7.8,103.86333333333333,213924074.66666666,102.03333333333335,104.15333333333332
1977-01-01,1988.648,2009.413,6083.391,27724.0,-21.079,1967.569,1610.842,1228.212,20.721,59.2,42.433,5.25,7.5,104.15333333333332,236474073.66666666,103.86333333333333,100.08999999999999
1977-04-01,2055.909,2076.658,6201.659,28195.0,-21.136,2034.7730000000001,1625.58,1255.98,21.459,60.233,43.333,5.25,7.1,100.08999999999999,247175925.0,104.15333333333332,98.34666666666668
1977-07-01,2118.473,2139.358,6313.559,28623.0,-20.579,2097.894,1632.108,1286.905,22.082,61.067,44.3,5.42,6.9,98.34666666666668,243338889.0,100.08999999999999,97.38333333333333
1977-10-01,2164.27,2183.039,6313.697,28543.0,-29.582,2134.688,1628.216,1324.804,22.768,61.967,45.533,5.93,6.7,97.38333333333333,235148149.0,98.34666666666668,94.08999999999999
1978-01-01,2202.76,2224.853,6333.848,28567.0,-38.681,2164.079,1628.631,1354.053,23.436,63.033,45.4,6.46,6.3,94.08999999999999,251688889.33333334,97.38333333333333,88.5
1978-04-01,2331.633,2350.382,6578.605,29596.0,-22.624,2309.009,1669.477,1411.385,24.547,64.467,45.733,6.78,6.0,88.5,239688889.33333334,94.08999999999999,96.53333333333335
1978-07-01,2395.053,2415.943,6644.754,29806.0,-23.76,2371.2929999999997,1684.9,1442.217,25.387,65.967,45.9,7.5,6.0,96.53333333333335,395859259.0,88.5,102.17000000000002
